temperature,rainfall,humidity
16,138,38
-10,203,97
31,147,22
47,77,80
27,21,83
27,61,7
22,185,70
3,117,2
49,300,7
43,468,99
19,155,36
30,67,46
0,122,27
-10,144,77
43,442,31
19,238,66
29,482,26
-7,261,66
16,14,22
14,316,38
49,459,54
-9,212,0
11,75,80
-8,304,5
-7,353,94
13,304,22
-8,433,86
5,381,57
50,294,63
44,187,59
47,227,92
27,87,5
10,135,7
11,88,82
4,23,43
25,46,4
32,213,83
39,499,54
32,452,18
18,148,78
6,403,10
16,451,44
4,119,61
13,107,13
8,478,51
8,356,100
50,184,44
22,125,88
7,180,54
18,346,73
32,265,68
18,434,82
-8,118,81
33,117,51
39,318,64
3,387,93
48,218,44
4,164,81
23,500,4
28,354,13
-6,494,79
-8,135,79
29,130,89
41,330,73
27,156,29
20,322,72
4,252,27
36,61,25
27,410,99
-3,308,71
43,443,16
31,13,75
16,403,86
2,187,52
40,175,79
37,214,28
-9,404,86
39,23,97
47,282,26
5,289,41
5,77,4
50,201,38
21,365,86
-5,371,16
6,396,21
45,202,78
-9,21,64
6,39,42
11,387,60
28,440,44
47,107,75
18,38,65
36,395,75
37,251,86
16,3,35
48,296,71
27,26,13
30,453,45
-1,262,96
38,467,90
36,116,37
33,248,48
31,300,1
48,477,88
34,198,30
37,105,87
25,121,73
-2,437,92
14,142,76
22,295,77
35,76,37
18,358,51
26,2,45
20,52,31
16,373,73
21,195,65
1,472,62
-3,65,48
25,237,65
50,436,14
20,257,25
21,235,50
8,411,94
43,224,79
15,400,21
5,439,80
-7,311,20
1,492,3
42,394,76
-3,343,47
41,254,12
45,495,24
15,148,77
47,254,4
39,427,100
27,387,17
47,123,0
41,381,68
-9,478,24
34,272,65
-10,69,53
10,469,48
13,403,66
-7,264,60
1,29,60
50,235,18
-6,337,21
48,435,40
-8,163,61
-3,429,65
41,36,26
19,177,46
49,442,50
36,270,27
13,340,85
25,93,61
43,448,38
-1,73,98
39,335,55
0,87,10
4,243,100
31,282,8
12,179,43
31,99,23
31,125,20
-10,409,85
7,252,100
21,252,70
-9,193,78
25,421,13
11,226,33
20,338,8
50,246,3
31,409,10
35,372,42
11,197,70
6,380,63
43,143,63
-8,368,59
50,409,25
7,229,15
13,89,19
45,177,23
11,239,3
1,193,30
40,199,22
46,499,86
39,401,24
38,431,31
5,30,67
16,288,42
22,7,2
12,496,36
48,132,1
26,376,56
48,272,95
8,272,62
12,442,2
35,471,59
40,180,51
