date,new_cases,new_deaths,new_tests
2020-01-01,2063,20,15712
2020-01-02,576,28,2992
2020-01-03,2264,35,5109
2020-01-04,3379,100,4556
2020-01-05,4037,47,13630
2020-01-06,2545,89,8995
2020-01-07,963,48,6513
2020-01-08,3194,24,6801
2020-01-09,1647,29,13511
2020-01-10,742,37,8596
2020-01-11,383,19,6513
2020-01-12,3065,92,9409
2020-01-13,1183,59,5346
2020-01-14,4757,50,11502
2020-01-15,1021,51,14926
2020-01-16,127,6,10923
2020-01-17,500,25,1095
2020-01-18,4665,62,17515
2020-01-19,1696,42,9897
2020-01-20,3463,88,7424
2020-01-21,4045,43,5806
2020-01-22,4831,84,6503
2020-01-23,4064,65,9176
2020-01-24,3834,4,19555
2020-01-25,473,23,8658
2020-01-26,1424,61,2480
2020-01-27,4775,84,10110
2020-01-28,1388,52,16296
2020-01-29,991,49,1586
2020-01-30,1180,59,11486
2020-01-31,3737,23,16833
2020-02-01,3493,35,18834
2020-02-02,871,43,7960
2020-02-03,2036,46,18561
2020-02-04,4777,62,14797
2020-02-05,2217,86,15230
2020-02-06,426,21,1667
2020-02-07,2283,99,4917
2020-02-08,3526,60,13048
2020-02-09,4935,91,16124
2020-02-10,1116,55,5495
2020-02-11,2402,75,10640
2020-02-12,190,9,10226
2020-02-13,4463,17,18107
2020-02-14,2064,97,15843
2020-02-15,2414,19,18457
2020-02-16,20,1,9870
2020-02-17,4192,83,4807
2020-02-18,4746,47,14256
2020-02-19,4300,4,11550
2020-02-20,974,37,12816
2020-02-21,1827,22,6676
2020-02-22,79,3,3199
2020-02-23,4558,72,17542
2020-02-24,4169,60,18241
2020-02-25,1094,18,15279
2020-02-26,925,15,17113
2020-02-27,704,35,4626
2020-02-28,3925,3,15403
2020-02-29,3776,74,8249
2020-03-01,3646,8,7316
2020-03-02,2402,56,3407
2020-03-03,1792,89,2040
2020-03-04,4705,41,11919
2020-03-05,4809,12,7803
2020-03-06,4848,54,19718
2020-03-07,4044,43,4828
2020-03-08,191,9,17505
2020-03-09,4120,45,7097
2020-03-10,3602,87,3986
2020-03-11,2748,61,11471
2020-03-12,2348,84,11287
2020-03-13,2658,5,14217
2020-03-14,1796,42,13470
2020-03-15,1859,80,18349
2020-03-16,1917,13,8311
2020-03-17,4310,26,19529
2020-03-18,857,42,10073
2020-03-19,4655,26,11832
2020-03-20,1454,72,5939
2020-03-21,4668,13,8122
2020-03-22,4664,40,13811
2020-03-23,4538,99,14738
2020-03-24,4995,16,15014
2020-03-25,377,18,1504
2020-03-26,4170,40,4526
2020-03-27,1028,51,17439
2020-03-28,2395,68,6030
2020-03-29,2849,91,17450
2020-03-30,4199,84,8861
2020-03-31,3118,83,14819
2020-04-01,1666,79,19021
2020-04-02,4594,76,5429
2020-04-03,2069,40,5401
2020-04-04,2945,92,11978
2020-04-05,706,35,13153
2020-04-06,873,43,11662
2020-04-07,1397,5,11310
2020-04-08,3791,99,12792
2020-04-09,1757,68,9305
2020-04-10,316,15,13956
2020-04-11,2108,39,13258
2020-04-12,3514,59,15806
2020-04-13,4196,96,4554
2020-04-14,4407,66,4644
2020-04-15,243,12,17095
2020-04-16,4653,36,8469
2020-04-17,4640,87,6339
2020-04-18,1698,84,18826
2020-04-19,2756,88,10425
2020-04-20,841,41,8803
2020-04-21,279,13,14916
2020-04-22,4241,71,11862
2020-04-23,1950,69,9391
2020-04-24,75,1,7961
2020-04-25,3390,66,4696
2020-04-26,2683,67,9265
2020-04-27,1043,52,11556
2020-04-28,1127,56,18245
2020-04-29,2615,92,14362
2020-04-30,1607,51,6835
2020-05-01,2996,44,12482
2020-05-02,611,30,17883
2020-05-03,1745,77,10575
2020-05-04,1735,86,16107
2020-05-05,3316,67,4307
2020-05-06,3514,84,17863
2020-05-07,3407,93,4823
2020-05-08,333,16,14212
2020-05-09,79,3,7227
2020-05-10,1541,74,1582
2020-05-11,1762,76,7156
2020-05-12,3141,3,15376
2020-05-13,4177,73,5965
2020-05-14,2362,4,12993
2020-05-15,4867,1,5502
2020-05-16,2395,87,2543
2020-05-17,4897,19,12429
2020-05-18,1591,26,3035
2020-05-19,3616,99,18801
2020-05-20,1031,51,12035
2020-05-21,2788,22,15763
2020-05-22,4746,46,12384
2020-05-23,4898,57,17076
2020-05-24,3410,35,10138
2020-05-25,4481,86,13210
2020-05-26,4102,42,15736
2020-05-27,2873,99,15618
2020-05-28,2395,9,14639
2020-05-29,4745,76,7732
2020-05-30,1385,69,8815
2020-05-31,3503,40,19880
2020-06-01,2158,3,10747
2020-06-02,4240,94,11063
2020-06-03,3005,4,4997
2020-06-04,4073,42,5416
2020-06-05,4645,69,17762
2020-06-06,428,21,12014
2020-06-07,4991,86,6870
2020-06-08,2991,57,13172
2020-06-09,923,46,15133
2020-06-10,3669,77,14846
2020-06-11,1526,48,19257
2020-06-12,2980,20,16258
2020-06-13,385,19,17046
2020-06-14,1751,85,8642
2020-06-15,4843,42,6318
2020-06-16,3354,76,11444
2020-06-17,3941,87,11216
2020-06-18,3669,45,5262
2020-06-19,675,33,17868
2020-06-20,4020,65,10855
2020-06-21,4533,16,8407
2020-06-22,532,26,16341
2020-06-23,4472,58,13911
2020-06-24,4702,59,19189
2020-06-25,4376,17,11413
2020-06-26,4222,73,19816
2020-06-27,203,2,9599
2020-06-28,1036,51,10353
2020-06-29,151,7,2571
2020-06-30,1070,36,1777
2020-07-01,1992,88,2828
2020-07-02,2756,42,16579
