date,new_cases,new_deaths,new_tests
2020-01-01,3287,14,16661.0
2020-01-02,3150,16,7128.0
2020-01-03,4363,3,18559.0
2020-01-04,2316,31,17568.0
2020-01-05,1873,5,9866.0
2020-01-06,3083,8,14803.0
2020-01-07,148,1,3945.0
2020-01-08,4137,12,NaN
2020-01-09,3583,51,7418.0
2020-01-10,1836,77,3883.0
2020-01-11,1631,21,18995.0
2020-01-12,4626,91,16511.0
2020-01-13,3382,35,8168.0
2020-01-14,4041,1,13993.0
2020-01-15,22,0,7865.0
2020-01-16,2276,32,7674.0
2020-01-17,2067,24,15208.0
2020-01-18,4644,18,NaN
2020-01-19,1251,12,4973.0
2020-01-20,4307,1,17206.0
2020-01-21,107,5,17868.0
2020-01-22,3094,55,8755.0
2020-01-23,4699,52,16239.0
2020-01-24,2010,54,11528.0
2020-01-25,2185,73,8875.0
2020-01-26,4892,99,12619.0
2020-01-27,2425,12,NaN
2020-01-28,92,3,14655.0
2020-01-29,645,13,11929.0
2020-01-30,555,4,7458.0
2020-01-31,706,29,7728.0
2020-02-01,5000,58,9138.0
2020-02-02,830,10,16765.0
2020-02-03,1336,50,7312.0
2020-02-04,1642,36,12181.0
2020-02-05,2252,9,9929.0
2020-02-06,2972,39,6186.0
2020-02-07,4815,82,14474.0
2020-02-08,1235,53,13804.0
2020-02-09,3464,98,11560.0
2020-02-10,4408,15,11973.0
2020-02-11,4244,35,NaN
2020-02-12,597,12,3071.0
2020-02-13,2108,58,8041.0
2020-02-14,904,36,4824.0
2020-02-15,2256,65,15048.0
2020-02-16,78,2,18279.0
2020-02-17,2865,38,10180.0
2020-02-18,2345,64,11183.0
2020-02-19,4738,80,14377.0
2020-02-20,1400,8,16080.0
2020-02-21,185,3,15266.0
2020-02-22,3775,21,15679.0
2020-02-23,4348,51,6372.0
2020-02-24,4348,30,5096.0
2020-02-25,2794,50,5248.0
2020-02-26,2260,89,4576.0
2020-02-27,1905,62,8576.0
2020-02-28,3393,63,6495.0
2020-02-29,1633,74,12695.0
2020-03-01,2671,70,10289.0
2020-03-02,3234,19,13217.0
2020-03-03,618,10,1283.0
2020-03-04,1893,84,11602.0
2020-03-05,0,0,NaN
2020-03-06,4731,88,17349.0
2020-03-07,352,4,NaN
2020-03-08,3046,72,6951.0
2020-03-09,4138,18,16690.0
2020-03-10,3302,19,5859.0
2020-03-11,4394,13,19016.0
2020-03-12,1347,64,19330.0
2020-03-13,773,13,NaN
2020-03-14,3272,45,18176.0
2020-03-15,1550,31,NaN
2020-03-16,2301,48,NaN
2020-03-17,525,26,4422.0
2020-03-18,713,19,19026.0
2020-03-19,773,9,18966.0
2020-03-20,3503,54,17226.0
2020-03-21,434,14,16856.0
2020-03-22,3455,70,7123.0
2020-03-23,4167,67,6895.0
2020-03-24,1719,21,8052.0
2020-03-25,1113,43,5145.0
2020-03-26,3660,50,11083.0
2020-03-27,118,5,7331.0
2020-03-28,4651,23,17452.0
2020-03-29,3102,4,3869.0
2020-03-30,3464,70,19038.0
2020-03-31,3639,65,13657.0
2020-04-01,876,21,8308.0
2020-04-02,528,24,2266.0
2020-04-03,2169,64,12768.0
2020-04-04,4972,28,15518.0
2020-04-05,2796,6,8377.0
2020-04-06,4731,67,11436.0
2020-04-07,3236,2,5693.0
2020-04-08,2268,80,15752.0
2020-04-09,4430,79,6822.0
2020-04-10,3743,22,16581.0
2020-04-11,3998,8,7315.0
2020-04-12,1723,56,14233.0
2020-04-13,2336,67,14247.0
2020-04-14,117,2,9240.0
2020-04-15,931,33,8052.0
2020-04-16,3896,8,14150.0
2020-04-17,3317,20,15132.0
2020-04-18,4584,3,NaN
2020-04-19,3856,71,11505.0
